"Date","Price","Open","High","Low","Vol.","Change %"
"02/14/2025","503.90","523.50","525.60","490.10","0.79K","-4.78%"
"02/13/2025","529.20","519.50","530.00","518.70","0.35K","1.47%"
"02/12/2025","521.55","510.85","524.00","509.00","0.40K","2.22%"
"02/11/2025","510.20","534.00","535.00","505.00","0.67K","-2.35%"
"02/10/2025","522.50","504.85","533.50","504.20","0.88K","5.00%"
"02/07/2025","497.60","497.00","506.00","494.10","0.83K","0.48%"
"02/06/2025","495.20","487.00","499.00","486.40","0.51K","2.03%"
"02/05/2025","485.35","474.80","487.85","472.00","0.86K","2.87%"
"02/04/2025","471.80","471.75","477.75","468.15","0.56K","1.21%"
"02/03/2025","466.15","463.90","475.50","463.30","0.87K","0.84%"
"01/31/2025","462.25","462.00","465.00","450.00","0.83K","1.02%"
"01/30/2025","457.60","446.20","461.65","445.50","0.56K","1.79%"
"01/29/2025","449.55","444.30","452.60","444.00","0.77K","2.70%"
"01/28/2025","437.75","432.00","439.75","429.80","0.77K","1.33%"
"01/27/2025","432.00","427.00","433.15","425.10","0.64K","0.89%"
"01/24/2025","428.20","424.00","430.00","423.00","0.35K","0.94%"
"01/23/2025","424.20","420.90","427.10","417.50","0.82K","1.51%"
"01/22/2025","417.90","405.50","419.35","402.80","0.96K","2.99%"
"01/21/2025","405.75","410.00","413.25","403.90","0.56K","-0.51%"
"01/20/2025","407.85","406.00","408.00","406.00","0.04K","0.58%"
"01/17/2025","405.50","405.95","410.95","403.00","0.36K","-0.02%"
"01/16/2025","405.60","410.10","411.95","404.00","0.49K","-0.98%"
"01/15/2025","409.60","403.40","410.65","402.80","0.61K","1.41%"
"01/14/2025","403.90","407.50","409.65","402.35","0.73K","-0.88%"
"01/13/2025","407.50","407.70","413.25","405.75","0.34K","0.95%"
"01/10/2025","403.65","400.80","405.35","399.85","0.41K","1.55%"
"01/09/2025","397.50","401.70","401.70","396.90","0.34K","0.05%"
"01/08/2025","397.30","402.15","405.55","395.00","0.51K","-1.13%"
"01/07/2025","401.85","398.75","404.85","398.65","1.11K","0.55%"
"01/06/2025","399.65","403.00","410.00","397.80","0.97K","-0.50%"
"01/03/2025","401.65","410.90","410.90","401.50","0.24K","-1.80%"
"01/02/2025","409.00","400.00","410.50","400.00","0.22K","1.92%"
"12/30/2024","401.30","402.55","405.00","398.00","0.13K","-0.78%"
"12/27/2024","404.45","403.65","406.35","400.00","0.28K","0.01%"
"12/26/2024","404.40","407.10","412.05","402.70","0.19K","-1.03%"
"12/23/2024","408.60","406.45","412.80","405.00","0.21K","0.22%"
"12/20/2024","407.70","405.05","412.50","405.00","0.34K","0.49%"
"12/19/2024","405.70","420.00","424.95","404.00","0.51K","-1.82%"
"12/18/2024","413.20","413.20","413.20","413.20","","2.53%"
"12/17/2024","403.00","403.00","403.00","403.00","","-1.07%"
"12/16/2024","407.35","410.00","410.00","410.00","0.13K","2.63%"
"12/13/2024","396.90","402.00","402.00","402.00","0.03K","-0.58%"
"12/12/2024","399.20","402.00","402.00","402.00","0.01K","0.30%"
"12/11/2024","398.00","401.00","402.00","401.00","0.26K","-4.43%"
"12/10/2024","416.45","426.00","426.00","426.00","0.18K","1.08%"
"12/09/2024","412.00","408.50","408.50","408.50","0.01K","-0.06%"
"12/06/2024","412.25","400.00","405.00","400.00","0.23K","5.68%"
"12/05/2024","390.10","385.00","385.00","385.00","0.05K","3.43%"
"12/04/2024","377.15","370.00","377.50","370.00","0.04K","2.98%"
"12/03/2024","366.25","372.00","372.50","369.75","0.04K","-0.54%"
"12/02/2024","368.25","372.50","372.50","368.25","0.30K","-7.46%"
"11/29/2024","397.95","400.00","400.00","387.80","0.03K","-1.47%"
"11/28/2024","403.90","397.00","400.10","396.00","0.11K","0.00%"
"11/27/2024","403.90","399.60","399.85","394.40","0.15K","3.31%"
"11/26/2024","390.95","390.30","394.20","384.90","0.08K","1.31%"
"11/25/2024","385.90","383.40","391.50","379.75","0.31K","1.31%"
"11/22/2024","380.90","368.50","383.10","368.50","0.20K","2.63%"
"11/21/2024","371.15","361.00","377.90","361.00","0.37K","3.25%"
"11/19/2024","359.45","363.00","363.45","357.25","0.18K","-0.61%"
"11/18/2024","361.65","358.25","373.00","358.25","0.47K","0.63%"
"11/14/2024","359.40","338.95","365.00","338.95","0.66K","6.38%"
"11/13/2024","337.85","327.90","341.00","327.75","0.37K","3.75%"
"11/12/2024","325.65","318.70","328.40","317.05","0.87K","3.30%"
"11/11/2024","315.25","311.30","316.25","311.05","0.25K","1.46%"
"11/08/2024","310.70","316.20","316.20","310.30","0.32K","-2.00%"
"11/07/2024","317.05","310.30","317.50","310.30","0.54K","4.34%"
"11/06/2024","303.85","305.10","305.55","299.45","0.46K","-0.13%"
"11/05/2024","304.25","299.30","306.00","299.30","0.38K","1.72%"
"11/04/2024","299.10","296.70","300.25","296.70","0.17K","0.86%"
"11/01/2024","296.55","300.50","301.50","295.25","0.70K","-0.72%"
"10/31/2024","298.70","301.00","301.50","298.00","0.35K","-1.22%"
"10/30/2024","302.40","300.45","303.00","298.60","0.40K","0.28%"
"10/29/2024","301.55","301.45","304.45","300.65","0.58K","-0.97%"
"10/28/2024","304.50","299.50","307.55","299.50","0.45K","1.25%"
"10/25/2024","300.75","298.05","301.70","297.50","0.43K","0.86%"
"10/24/2024","298.20","303.90","303.90","296.55","0.48K","-1.79%"
"10/23/2024","303.65","299.05","304.75","298.55","0.41K","1.10%"
"10/22/2024","300.35","303.00","306.00","297.80","0.49K","-0.23%"
"10/21/2024","301.05","306.30","306.50","297.65","0.47K","-1.97%"
